iter	MultiClass
0	1.784403595
1	1.670175037
2	1.582094404
3	1.506396212
4	1.449042083
5	1.394453947
6	1.353446346
7	1.313960399
8	1.278203909
9	1.247304399
10	1.221050179
11	1.19723449
12	1.174129923
13	1.15163453
14	1.135464198
15	1.119912926
16	1.103418481
17	1.091188837
18	1.077419306
19	1.067551873
20	1.055748541
21	1.048739117
22	1.03963273
23	1.030820261
24	1.023936099
25	1.017503219
26	1.011735799
27	1.00448559
28	0.998902384
29	0.9931784363
30	0.9878234826
31	0.9832977907
32	0.9775441594
33	0.9731210296
34	0.9689490479
35	0.9654962857
36	0.9623079801
37	0.9582035247
38	0.9530386941
39	0.9499020192
40	0.9478009383
41	0.9453934632
42	0.9414149708
43	0.938024153
44	0.9354787837
45	0.9330800417
46	0.9302488922
47	0.9281617299
48	0.9247899716
49	0.9231607431
50	0.9211655115
51	0.9181491817
52	0.9166769028
53	0.914699078
54	0.9123783515
55	0.9107470131
56	0.9087312899
57	0.907395522
58	0.9056178572
59	0.9042021557
60	0.9028211201
61	0.9012601781
62	0.899111269
63	0.8979234969
64	0.8951764984
65	0.8939719175
66	0.8926633621
67	0.8912635067
68	0.8896010181
69	0.8888772173
70	0.8878135082
71	0.8865564588
72	0.8855613423
73	0.8834065421
74	0.8820883214
75	0.8801124389
76	0.8786183802
77	0.8772868456
78	0.8760180648
79	0.8749279741
80	0.8741839531
81	0.872293613
82	0.8714172955
83	0.8704665668
84	0.8699456983
85	0.8687305126
86	0.8671396694
87	0.866105059
88	0.8652446584
89	0.8642409735
90	0.8632917808
91	0.8621636701
92	0.8614485596
93	0.860327981
94	0.8595661571
95	0.8589633091
96	0.8573686126
97	0.8569537205
98	0.8558667251
99	0.8547703399
100	0.8537128218
101	0.8522526592
102	0.8513913997
103	0.8509606414
104	0.8503736396
105	0.8494685984
106	0.8485088805
107	0.8476590422
108	0.8467238655
109	0.8455410324
110	0.8444990358
111	0.8434595406
112	0.8424764694
113	0.841931847
114	0.8410657628
115	0.8402365248
116	0.8391880633
117	0.8382825144
118	0.8376064506
119	0.8367310318
120	0.8358532695
121	0.8352706528
122	0.834492023
123	0.8337968342
124	0.8330267533
125	0.8324237894
126	0.8315518746
127	0.83117782
128	0.8303408451
129	0.8295115787
130	0.8283875642
131	0.8279519846
132	0.8272927616
133	0.8269885081
134	0.8263064719
135	0.8251766989
136	0.8243119955
137	0.8236438726
138	0.8231322751
139	0.8224584009
140	0.8216321915
141	0.8207433615
142	0.8202704803
143	0.8191455038
144	0.8186420862
145	0.8177457267
146	0.8170607269
147	0.8159364112
148	0.8150463285
149	0.8145225715
150	0.8134198014
151	0.8123750201
152	0.8117479305
153	0.810616646
154	0.8098248417
155	0.8087166928
156	0.8083088961
157	0.8078631435
158	0.8073108441
159	0.8065599843
160	0.8062944112
161	0.8054017559
162	0.8045909287
163	0.8038585886
164	0.8028332938
165	0.8024684098
166	0.8011723322
167	0.800422499
168	0.7992775986
169	0.7986359268
170	0.7974513227
171	0.7963987974
172	0.7960166097
173	0.7954812806
174	0.7949885863
175	0.793796696
176	0.7930462489
177	0.7923888625
178	0.7919860775
179	0.791208346
180	0.7903122206
181	0.7895700184
182	0.7886674074
183	0.7880059634
184	0.7872646998
185	0.7866577517
186	0.7864206134
187	0.7858689371
188	0.7851170197
189	0.7844696009
190	0.7839785384
191	0.783468132
192	0.7827603419
193	0.7821126799
194	0.7816885627
195	0.7812732424
196	0.7805082758
197	0.7798662918
198	0.7793202993
199	0.7788481182
200	0.7781973563
201	0.7772945009
202	0.7768871124
203	0.7765111925
204	0.7762421834
205	0.7755438728
206	0.774922973
207	0.774012529
208	0.7737294064
209	0.7731259458
210	0.7722428845
211	0.7717894059
212	0.7714391594
213	0.7705222066
214	0.7702180018
215	0.7699655512
216	0.7694905451
217	0.7689383325
218	0.7685185611
219	0.7678481857
220	0.7672141964
221	0.7668304445
222	0.7661639152
223	0.765400957
224	0.7644908169
225	0.7639635797
226	0.7630084663
227	0.7622826392
228	0.761433497
229	0.7610779617
230	0.7605447347
231	0.7599534444
232	0.7595295624
233	0.7592172451
234	0.7586559526
235	0.7579131576
236	0.7574490563
237	0.7568490609
238	0.7566588227
239	0.7556531811
240	0.7549595488
241	0.7543071623
242	0.7539478265
243	0.7532114699
244	0.7524594569
245	0.7519454658
246	0.7511466921
247	0.7503833682
248	0.7494989262
249	0.7487872796
250	0.7479846316
251	0.7476145344
252	0.7471745485
253	0.7468136185
254	0.7465811878
255	0.7460426015
256	0.7454456468
257	0.7452318533
258	0.7447383335
259	0.7442384897
260	0.7438456033
261	0.7435559766
262	0.7430122264
263	0.7424569012
264	0.7417131218
265	0.7410430077
266	0.7405124528
267	0.7400186975
268	0.7398110393
269	0.7393911255
270	0.7387141418
271	0.737983194
272	0.7372406659
273	0.7368326693
274	0.736495066
275	0.7361005138
276	0.7355222247
277	0.7349475804
278	0.7341711602
279	0.7337473522
280	0.7332992513
281	0.7327070851
282	0.7324511655
283	0.7315337405
284	0.73092098
285	0.7301308173
286	0.729675689
287	0.7289241963
288	0.7281643657
289	0.7279504933
290	0.7272531849
291	0.7266674441
292	0.7265270199
293	0.7258517247
294	0.7252304704
295	0.7243343364
296	0.7237632893
297	0.7234587254
298	0.7226264065
299	0.7223334675
300	0.7214872396
301	0.7207374262
302	0.7202183033
303	0.7197676579
304	0.7194279092
305	0.7185265283
306	0.7182731126
307	0.7178623013
308	0.7170991081
309	0.7163111835
310	0.7157584665
311	0.7153733084
312	0.7146877509
313	0.7141390004
314	0.7133464399
315	0.7126262769
316	0.7119513477
317	0.7114631407
318	0.7109822199
319	0.7106957648
320	0.7104805586
321	0.7101258372
322	0.7094458479
323	0.7090029251
324	0.708479341
325	0.7076293273
326	0.7071649519
327	0.7068597332
328	0.7062260207
329	0.7060366977
330	0.70578717
331	0.7051663597
332	0.7047088959
333	0.7040963475
334	0.7033645239
335	0.7029620142
336	0.7025464061
337	0.7019580533
338	0.7015664153
339	0.7013530718
340	0.7008427655
341	0.7001728133
342	0.6994234993
343	0.6989445983
344	0.6983987247
345	0.6979914254
346	0.6973401762
347	0.6968206205
348	0.6965976627
349	0.6960499964
350	0.6956159492
351	0.6953255969
352	0.6949891383
353	0.6945038697
354	0.6941240044
355	0.6936788382
356	0.6930781355
357	0.692888638
358	0.6925367834
359	0.6918700649
360	0.6913998529
361	0.6909448566
362	0.690146685
363	0.6897995203
364	0.6893047556
365	0.688580821
366	0.6879696035
367	0.6871969149
368	0.6867778479
369	0.6861699607
370	0.685711195
371	0.6851964812
372	0.6847313071
373	0.6841554517
374	0.6839140666
375	0.6834421069
376	0.6828187626
377	0.68238711
378	0.682029002
379	0.6815219305
380	0.6810663333
381	0.6805643026
382	0.6802342241
383	0.6795550978
384	0.6791693589
385	0.6783677282
386	0.6779888868
387	0.6771336895
388	0.6769068181
389	0.6764519682
390	0.675822941
391	0.6753074465
392	0.6748864859
393	0.6743448225
394	0.6737925355
395	0.6736192127
396	0.6732462688
397	0.67279461
398	0.6724362129
399	0.672228757
400	0.6716610335
401	0.6714122692
402	0.6706191218
403	0.6702039418
404	0.669563316
405	0.6687963954
406	0.6682531419
407	0.6679743664
408	0.6675353668
409	0.6669516407
410	0.6664902936
411	0.6661438934
412	0.6657012369
413	0.6650714016
414	0.664881131
415	0.6643444757
416	0.6639928041
417	0.6630285653
418	0.6622506088
419	0.661766176
420	0.6613205393
421	0.6608258596
422	0.6604657812
423	0.660163021
424	0.6598470871
425	0.6593092017
426	0.6588760227
427	0.6586984167
428	0.6581581062
429	0.657906584
430	0.6570373312
431	0.6566813985
432	0.6563178863
433	0.6559899451
434	0.6556152847
435	0.6553297227
436	0.6548204316
437	0.6543040476
438	0.6535426583
439	0.6532934493
440	0.6528987537
441	0.652466734
442	0.652149379
443	0.6515122631
444	0.6510691122
445	0.6505165511
446	0.6500012161
447	0.6494178158
448	0.6492366231
449	0.6487772762
450	0.6482500498
451	0.6478120135
452	0.6474193555
453	0.6468522928
454	0.6464698496
455	0.6462476196
456	0.645695521
457	0.6452776298
458	0.64483132
459	0.6443839332
460	0.6441780302
461	0.6436297533
462	0.6432244614
463	0.6426578578
464	0.6422731335
465	0.64156401
466	0.6413600157
467	0.6409695036
468	0.6401596569
469	0.6397399767
470	0.6395440001
471	0.6388470091
472	0.6386558163
473	0.6377991566
474	0.6375866968
475	0.6372788155
476	0.6367463734
477	0.6363433478
478	0.635926053
479	0.6354338935
480	0.6350264194
481	0.6345814226
482	0.6342646335
483	0.633976795
484	0.6333173138
485	0.6326772474
486	0.6324278436
487	0.6321075829
488	0.6315411137
489	0.6311267628
490	0.6307184602
491	0.6303377821
492	0.6296086925
493	0.6290880163
494	0.6287178054
495	0.628251846
496	0.6276835402
497	0.627002614
498	0.6265983657
499	0.6261228437
500	0.6257309374
501	0.6255098155
502	0.6251030963
503	0.6246346475
504	0.62410658
505	0.6236960654
506	0.6231991213
507	0.6227548652
508	0.6224340454
509	0.6219569873
510	0.6215105176
511	0.621181829
512	0.6210070122
513	0.6203657973
514	0.6200144691
515	0.6194667529
516	0.6191818848
517	0.6187402094
518	0.6179696795
519	0.6175976683
520	0.6172635072
521	0.6169672874
522	0.6163127482
523	0.6157222239
524	0.6152969454
525	0.6150433559
526	0.6146409126
527	0.6142972868
528	0.6139711036
529	0.613843832
530	0.6134711886
531	0.6130829241
532	0.6125864899
533	0.6121316987
534	0.6116496224
535	0.6112217255
536	0.6108493455
537	0.6103590719
538	0.6097459394
539	0.6094525553
540	0.6090656374
541	0.6086741958
542	0.6084185473
543	0.6080668285
544	0.6077512366
545	0.6075303481
546	0.6072274767
547	0.6066694748
548	0.6060405912
549	0.6057759113
550	0.6053148942
551	0.6049619079
552	0.6043255304
553	0.6039822246
554	0.6036810162
555	0.603230809
556	0.6027556236
557	0.6023267479
558	0.6017031408
559	0.6011552354
560	0.6006943469
561	0.6003413266
562	0.5999532915
563	0.5997448943
564	0.5994844549
565	0.598998038
566	0.5987573883
567	0.598158688
568	0.5978183224
569	0.5974561633
570	0.5968718051
571	0.596448526
572	0.5959741912
573	0.5954194579
574	0.5950591234
575	0.5945374446
576	0.5941425212
577	0.5937558599
578	0.5932985012
579	0.5929934052
580	0.592702469
581	0.5922366855
582	0.5917593945
583	0.5916321383
584	0.5910082816
585	0.5908145473
586	0.5902458452
587	0.590045958
588	0.5895240102
