Sex,Length,Diameter,Height,Whole weight,Whole weight.1,Whole weight.2,Shell weight,Rings
1,0.55,0.43,0.15,0.7715,0.3285,0.1465,0.24,11
1,0.63,0.49,0.145,1.13,0.458,0.2765,0.32,11
2,0.16,0.11,0.025,0.021,0.0055,0.003,0.005,6
0,0.595,0.475,0.15,0.9145,0.3755,0.2055,0.25,10
2,0.555,0.425,0.13,0.782,0.3695,0.16,0.1975,9
1,0.61,0.48,0.17,1.201,0.5335,0.3135,0.3085,10
1,0.61,0.49,0.15,1.1165,0.4955,0.2945,0.295,9
2,0.205,0.15,0.04,0.046,0.0145,0.0105,0.01,4
0,0.605,0.5,0.185,1.218,0.5885,0.2705,0.31,11
1,0.595,0.475,0.145,0.9085,0.3605,0.1765,0.265,15
2,0.44,0.345,0.11,0.4495,0.175,0.0945,0.1365,7
2,0.555,0.435,0.145,0.7905,0.3495,0.1815,0.2425,10
1,0.59,0.44,0.185,1.0195,0.4005,0.2465,0.265,11
0,0.675,0.545,0.18,1.633,0.741,0.339,0.485,12
2,0.5,0.36,0.105,0.494,0.2385,0.1055,0.13,8
0,0.305,0.215,0.1,0.224,0.0865,0.0345,0.07,7
2,0.505,0.385,0.125,0.6095,0.2755,0.1435,0.165,8
1,0.55,0.44,0.14,0.8785,0.425,0.1685,0.2325,9
0,0.57,0.46,0.175,1.3695,0.6,0.268,0.35,10
0,0.495,0.385,0.135,0.6765,0.261,0.1375,0.205,10
2,0.5,0.385,0.135,0.6075,0.2765,0.1245,0.171,8
0,0.645,0.525,0.175,1.489,0.5985,0.3315,0.4,20
2,0.18,0.11,0.04,0.0315,0.0105,0.0065,0.005,4
0,0.58,0.45,0.165,1.0425,0.3745,0.2075,0.455,20
2,0.495,0.375,0.125,0.5185,0.241,0.1035,0.16,9
0,0.47,0.375,0.14,0.5785,0.2185,0.1295,0.185,12
2,0.58,0.45,0.14,0.9165,0.3875,0.1615,0.275,10
1,0.59,0.46,0.16,0.964,0.419,0.2145,0.265,9
1,0.605,0.475,0.175,1.2415,0.5305,0.3065,0.34,17
0,0.515,0.39,0.125,0.5175,0.2655,0.096,0.1435,9
2,0.29,0.21,0.075,0.1425,0.0565,0.0275,0.04,6
2,0.47,0.34,0.105,0.3675,0.143,0.108,0.1,7
2,0.385,0.305,0.085,0.252,0.1065,0.055,0.08,7
0,0.525,0.39,0.135,0.7835,0.3135,0.1645,0.1845,9
0,0.52,0.385,0.14,0.7275,0.343,0.1625,0.19,10
0,0.635,0.545,0.18,1.3725,0.573,0.3445,0.39,13
2,0.515,0.4,0.145,0.7555,0.41,0.1745,0.169,7
1,0.58,0.465,0.17,1.2435,0.4475,0.2425,0.38,14
2,0.47,0.375,0.12,0.5395,0.2595,0.1165,0.16,9
1,0.615,0.47,0.14,1.0595,0.5305,0.236,0.27,9
2,0.455,0.345,0.12,0.4425,0.192,0.081,0.13,8
0,0.49,0.395,0.125,0.6605,0.2675,0.1345,0.185,13
0,0.505,0.4,0.14,0.7665,0.3345,0.1625,0.169,9
2,0.435,0.345,0.11,0.4155,0.1645,0.091,0.13,9
0,0.575,0.45,0.155,0.9335,0.4165,0.1605,0.275,10
2,0.33,0.255,0.095,0.1785,0.0655,0.037,0.055,7
1,0.63,0.485,0.16,1.2435,0.5635,0.3045,0.3,10
1,0.615,0.475,0.13,1.0375,0.3865,0.262,0.33,14
0,0.725,0.565,0.205,1.926,0.959,0.38,0.44,11
1,0.585,0.46,0.165,0.9705,0.4535,0.2275,0.245,9
2,0.295,0.22,0.08,0.121,0.0505,0.029,0.027,5
2,0.41,0.32,0.09,0.34,0.192,0.0655,0.082,6
0,0.535,0.405,0.14,0.764,0.347,0.1605,0.201,9
1,0.55,0.425,0.15,1.0025,0.54,0.1705,0.24,9
2,0.525,0.4,0.14,0.7365,0.3055,0.1435,0.21,9
0,0.695,0.565,0.235,1.8985,0.797,0.3835,0.4385,10
1,0.535,0.42,0.155,0.8705,0.3155,0.2145,0.235,12
2,0.485,0.37,0.12,0.547,0.216,0.1085,0.1785,8
2,0.475,0.375,0.115,0.501,0.2025,0.1165,0.165,8
2,0.46,0.345,0.11,0.365,0.16,0.0885,0.105,9
0,0.655,0.52,0.175,1.5265,0.7365,0.3075,0.3925,11
1,0.555,0.43,0.13,0.874,0.3595,0.1725,0.22,9
2,0.335,0.25,0.075,0.18,0.0775,0.0335,0.037,5
1,0.585,0.53,0.16,1.054,0.3895,0.1905,0.375,23
2,0.53,0.395,0.125,0.6445,0.3155,0.1235,0.185,9
2,0.48,0.38,0.125,0.5605,0.248,0.12,0.16,9
2,0.45,0.33,0.11,0.393,0.163,0.062,0.111,7
0,0.495,0.375,0.115,0.5415,0.2595,0.086,0.1325,7
2,0.295,0.22,0.065,0.14,0.0565,0.013,0.035,6
2,0.275,0.22,0.07,0.1385,0.056,0.0285,0.0265,5
1,0.575,0.47,0.16,1.1255,0.53,0.222,0.29,9
0,0.61,0.495,0.19,1.3315,0.5815,0.3025,0.385,12
0,0.51,0.4,0.135,0.7045,0.3525,0.159,0.185,7
2,0.17,0.15,0.035,0.021,0.0065,0.0085,0.005,4
0,0.645,0.515,0.175,1.58,0.5265,0.336,0.44,12
1,0.505,0.405,0.135,0.959,0.2555,0.2245,0.2535,14
2,0.42,0.325,0.1,0.366,0.174,0.0825,0.0975,8
0,0.625,0.49,0.15,1.1835,0.5785,0.2355,0.2885,9
1,0.605,0.495,0.19,1.1845,0.469,0.271,0.39,10
2,0.48,0.365,0.125,0.5805,0.2465,0.1255,0.16,8
2,0.34,0.255,0.09,0.1725,0.073,0.0265,0.0635,6
1,0.58,0.43,0.155,0.8395,0.3275,0.1835,0.26,13
1,0.5,0.4,0.14,0.6605,0.2505,0.12,0.1685,9
1,0.49,0.39,0.13,0.5915,0.2065,0.1155,0.18,10
0,0.615,0.465,0.15,0.945,0.4455,0.2045,0.29,9
2,0.205,0.185,0.055,0.0235,0.0075,0.005,0.01,3
2,0.415,0.31,0.1,0.2805,0.1125,0.0575,0.0925,8
1,0.6,0.475,0.17,1.2915,0.581,0.2775,0.3765,9
2,0.375,0.28,0.095,0.2745,0.1265,0.042,0.067,6
2,0.295,0.21,0.075,0.1275,0.0385,0.0185,0.0215,3
1,0.6,0.495,0.18,1.29,0.618,0.27,0.325,12
0,0.695,0.525,0.19,1.711,0.8665,0.4095,0.4195,11
2,0.25,0.18,0.065,0.0735,0.0235,0.018,0.02,5
2,0.29,0.205,0.07,0.106,0.0335,0.0185,0.03,6
1,0.58,0.45,0.13,0.8255,0.3795,0.1825,0.22,8
0,0.535,0.43,0.16,0.9685,0.3935,0.178,0.275,10
1,0.58,0.45,0.145,0.9765,0.4525,0.1845,0.265,10
1,0.6,0.48,0.175,1.2905,0.6235,0.271,0.32,10
1,0.66,0.545,0.17,1.6115,0.732,0.3235,0.37,9
0,0.54,0.415,0.14,0.8965,0.3175,0.129,0.355,22
1,0.45,0.35,0.115,0.4305,0.2025,0.0775,0.115,8
2,0.435,0.31,0.11,0.3975,0.1875,0.077,0.105,8
2,0.535,0.39,0.14,0.783,0.3735,0.1715,0.195,8
0,0.49,0.38,0.125,0.5805,0.2265,0.1325,0.1885,9
2,0.485,0.37,0.11,0.5365,0.2855,0.096,0.1325,8
1,0.485,0.38,0.135,0.559,0.2265,0.1205,0.1855,8
1,0.565,0.45,0.145,0.8915,0.3305,0.1925,0.238,10
1,0.55,0.45,0.175,0.9155,0.3465,0.1905,0.26,12
1,0.61,0.475,0.175,1.107,0.4605,0.2425,0.31,9
0,0.575,0.47,0.13,0.9555,0.3735,0.185,0.275,13
0,0.585,0.46,0.165,1.099,0.4905,0.2145,0.345,10
0,0.615,0.475,0.165,1.0425,0.4105,0.2035,0.325,10
2,0.53,0.43,0.13,0.6395,0.2945,0.1295,0.2135,8
0,0.665,0.505,0.185,1.5275,0.59,0.368,0.38,10
0,0.55,0.43,0.125,0.832,0.4025,0.173,0.21,9
1,0.575,0.445,0.165,0.9685,0.4005,0.195,0.27,14
0,0.6,0.5,0.19,1.2715,0.4805,0.288,0.3755,13
1,0.46,0.355,0.12,0.4435,0.165,0.093,0.185,11
2,0.45,0.345,0.105,0.4665,0.2485,0.1015,0.115,7
1,0.57,0.465,0.155,1.01,0.447,0.2285,0.29,9
1,0.55,0.425,0.115,0.745,0.2595,0.183,0.23,13
0,0.54,0.42,0.145,0.764,0.3165,0.1495,0.18,9
1,0.675,0.53,0.185,1.9485,0.9455,0.3525,0.45,14
1,0.58,0.445,0.14,0.8255,0.3745,0.2195,0.2195,8
1,0.585,0.455,0.165,0.998,0.345,0.2325,0.315,17
